stationIDX,lat,lon,name,url
6021,55.464531,-4.631673,"South Ayrshire Ayr High St, United Kingdom",https://aqicn.org/city/united-kingdom/scotland/south-ayrshire-ayr-high-st
6022,55.775278,-4.163611,"South Lanarkshire East Kilbride, United Kingdom",https://aqicn.org/city/united-kingdom/scotland/south-lanarkshire-east-kilbride
6023,55.774018,-4.03736,"South Lanarkshire Hamilton, United Kingdom",https://aqicn.org/city/united-kingdom/scotland/south-lanarkshire-hamilton
6024,56.11472,-3.932178,"Stirling Craig's Roundabout, United Kingdom",https://aqicn.org/city/united-kingdom/scotland/stirling-craigs-roundabout
6025,55.934357,-3.46919,"West Lothian Broxburn, United Kingdom",https://aqicn.org/city/united-kingdom/scotland/west-lothian-broxburn
6026,55.97671,-3.59731,"West Lothian Linlithgow High Street 2, United Kingdom",https://aqicn.org/city/united-kingdom/scotland/west-lothian-linlithgow-high-street-2
6027,55.983925,-3.455939,"West Lothian Newton, United Kingdom",https://aqicn.org/city/united-kingdom/scotland/west-lothian-newton
6028,54.353728,-6.654558,"Armagh Lonsdale Road, United Kingdom",https://aqicn.org/city/united-kingdom/northenireland/armagh-lonsdale-road
6029,54.861595,-6.250873,"Ballymena Ballykeel, United Kingdom",https://aqicn.org/city/united-kingdom/northenireland/ballymena-ballykeel
6030,54.59965,-5.928833,"Belfast Centre, United Kingdom",https://aqicn.org/city/united-kingdom/northenireland/belfast-centre
6031,54.572586,-5.974944,"Belfast Stockman's Lane, United Kingdom",https://aqicn.org/city/united-kingdom/northenireland/belfast-stockmans-lane
6032,55.001225,-7.329115,Derry Brooke Park,http://aqicn.org/city/united-kingdom/northenireland/derry-brooke-park/
6033,54.43951,-7.900328,"Lough Navar, United Kingdom",https://aqicn.org/city/united-kingdom/northenireland/lough-navar
6034,54.180381,-6.33924,"Newry Canal Street, United Kingdom",https://aqicn.org/city/united-kingdom/northenireland/newry-canal-street
6035,54.178861,-6.348254,Newry Monaghan Row,http://aqicn.org/city/united-kingdom/northenireland/newry-monaghan-row/
6036,54.821427,-7.453291,"Strabane Springhill Park, United Kingdom",https://aqicn.org/city/united-kingdom/northenireland/strabane-springhill-park
6246,50.95780278,1.890077758,"Calais Parmentier, Nord-Pas-de-Calais, France",https://aqicn.org/city/france/nord-pas-de-calais/calais-parmentier
6248,50.71308889,1.607816667,"Boulogne-sur-mer, Nord-Pas-de-Calais, France",https://aqicn.org/city/france/nord-pas-de-calais/boulogne-sur-mer
6249,50.69435278,1.576572441,"Outreau, Nord-Pas-de-Calais, France",https://aqicn.org/city/france/nord-pas-de-calais/outreau
6339,55.944008,-3.059223,"East Lothian Musselburgh N High St, United Kingdom",https://aqicn.org/city/united-kingdom/scotland/east-lothian-musselburgh-n-high-st
6340,55.896909,-3.31966,"Edinburgh Currie, United Kingdom",https://aqicn.org/city/united-kingdom/scotland/edinburgh-currie
6341,55.861667,-4.271389,"Glasgow Anderston, United Kingdom",https://aqicn.org/city/united-kingdom/scotland/glasgow-anderston
6342,54.543516,-6.008608,"Lisburn Dunmurry Seymour Hill, United Kingdom",https://aqicn.org/city/united-kingdom/northenireland/lisburn-dunmurry-seymour-hill
6343,54.177794,-6.336044,Newry Trevor Hill,http://aqicn.org/city/united-kingdom/northenireland/newry-trevor-hill/
6344,54.641963,-5.837939,"North Down Holywood A2, United Kingdom",https://aqicn.org/city/united-kingdom/northenireland/north-down-holywood-a2
7944,51.552476,-0.258089,"Brent - Ikea, United Kingdom",https://aqicn.org/city/united-kingdom/brent-ikea
7945,51.52770662,-0.129053205,"Camden - Euston Road, United Kingdom",https://aqicn.org/city/united-kingdom/camden-euston-road
7946,51.526454,-0.08491,"Hackney - Old Street, United Kingdom",https://aqicn.org/city/united-kingdom/hackney-old-street
7947,51.52078746,0.205460706,"Havering - Rainham, United Kingdom",https://aqicn.org/city/united-kingdom/havering-rainham
7948,51.51504617,-0.008418493,"Tower Hamlets - Blackwall, United Kingdom",https://aqicn.org/city/united-kingdom/tower-hamlets-blackwall
7949,51.51452534,-0.104515626,"City of London - Farringdon Street, United Kingdom",https://aqicn.org/city/united-kingdom/city-of-london-farringdon-street
7950,51.50851648,-0.392208459,Ealing - Southall FDMS,http://aqicn.org/city/united-kingdom/ealing-southall-fdms/
7951,51.49464868,0.137279111,"Bexley - Belvedere West, United Kingdom",https://aqicn.org/city/united-kingdom/bexley-belvedere-west
7952,51.49061021,0.158914494,"Bexley - Belvedere, United Kingdom",https://aqicn.org/city/united-kingdom/bexley-belvedere
7953,51.490532,0.074003,"Greenwich - A206 Burrage Grove, United Kingdom",https://aqicn.org/city/united-kingdom/greenwich-a206-burrage-grove
7954,51.486957,0.095111,"Greenwich - Plumstead High Street, United Kingdom",https://aqicn.org/city/united-kingdom/greenwich-plumstead-high-street
7955,51.486884,0.017901,"Greenwich - Woolwich Flyover, United Kingdom",https://aqicn.org/city/united-kingdom/greenwich-woolwich-flyover
7956,51.474954,-0.039641,"Lewisham - New Cross, United Kingdom",https://aqicn.org/city/united-kingdom/lewisham-new-cross
7957,51.456357,0.040725,"Greenwich - Westhorne Avenue, United Kingdom",https://aqicn.org/city/united-kingdom/greenwich-westhorne-avenue
7958,51.4563,0.085606,"Greenwich and Bexley - Falconwood, United Kingdom",https://aqicn.org/city/united-kingdom/greenwich-and-bexley-falconwood
7959,51.3892869,-0.141661525,"Sutton - Beddington Lane north, United Kingdom",https://aqicn.org/city/united-kingdom/sutton-beddington-lane-north
8045,57.15736,-2.094278,"Aberdeen Errol Place, United Kingdom",https://aqicn.org/city/united-kingdom/scotland/aberdeen-errol-place
8046,55.79412,-4.354968,"Glasgow Waulkmillglen Reservoir, United Kingdom",https://aqicn.org/city/united-kingdom/scotland/glasgow-waulkmillglen-reservoir
8047,55.818357,-4.081839,"South Lanarkshire Uddingston, United Kingdom",https://aqicn.org/city/united-kingdom/scotland/south-lanarkshire-uddingston
8048,55.91796,-4.406231,"West Dunbartonshire Clydebank, United Kingdom",https://aqicn.org/city/united-kingdom/scotland/west-dunbartonshire-clydebank
8049,56.117258,-3.791896,"Alloa, United Kingdom",https://aqicn.org/city/united-kingdom/scotland/alloa
8050,55.860936,-4.238214,"Glasgow High Street, United Kingdom",https://aqicn.org/city/united-kingdom/scotland/glasgow-high-street
8051,55.863313,-4.390978,"Renfrew Cockels Loan, United Kingdom",https://aqicn.org/city/united-kingdom/scotland/renfrew-cockels-loan
